,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age,Price_every_Year,Price_every_KM
14,14,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498,98.6,5.0,5.4,0,0,1,8,0.675,0.09160305343511452
15,15,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248,74.0,5.0,5.99,0,0,1,7,0.8557142857142858,0.2396
16,16,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461,83.8,5.0,6.34,0,0,1,10,0.634,0.08183918728781835
17,17,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143,167.62,5.0,28.0,0,0,0,10,2.8,0.356687898089172
18,18,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995,190.0,5.0,18.55,0,0,0,10,1.855,0.5624279910254077
19,19,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248,88.5,5.0,8.25,0,0,1,9,0.9166666666666666,0.14893847487001732
20,20,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984,177.01,5.0,23.5,0,1,0,9,2.611111111111111,0.4197552915959632
21,21,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197,80.0,5.0,1.87,0,1,1,14,0.1335714285714286,0.04082345493046914
22,22,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598,103.6,5.0,2.85,0,1,0,14,0.20357142857142857,0.08636363636363636
23,23,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497,116.3,5.0,4.25,0,1,1,12,0.3541666666666667,0.08185670261941448
24,24,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461,63.1,5.0,4.25,0,0,1,12,0.3541666666666667,0.0787037037037037
25,25,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998,67.1,5.0,2.75,0,1,1,11,0.25,0.05092592592592592
26,26,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199,88.7,5.0,9.9,0,1,1,6,1.6500000000000001,0.2644937216136789
27,27,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494,102.0,7.0,4.0,0,0,1,17,0.23529411764705882,0.015267175572519083
28,28,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461,108.45,5.0,7.75,0,0,1,11,0.7045454545454546,0.125
29,29,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798,138.1,5.0,6.75,0,1,1,12,0.5625,0.07704160246533129
30,30,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696,184.0,7.0,12.5,0,0,0,11,1.1363636363636365,0.1736111111111111
31,31,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698,179.5,5.0,11.5,0,0,0,14,0.8214285714285714,0.32857142857142857
32,32,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598,103.5,5.0,6.98,0,1,1,10,0.6980000000000001,0.12592231783658964
33,33,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061,64.0,5.0,1.85,0,1,1,15,0.12333333333333334,0.02207215806051351
34,34,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248,88.5,5.0,8.63,0,0,1,6,1.4383333333333335,0.1723414877683475
35,35,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198,82.0,5.0,4.85,0,1,1,7,0.6928571428571428,0.09326923076923077
36,36,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987,254.8,5.0,28.0,0,0,0,11,2.5454545454545454,0.3294117647058824
37,37,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199,73.9,5.0,5.0,0,0,1,11,0.45454545454545453,0.08064516129032258
38,38,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796,46.3,5.0,1.25,0,1,1,16,0.078125,0.01388888888888889
39,39,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624,37.5,4.0,1.53,0,1,1,10,0.153,0.07767286018885167
40,40,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198,77.0,6.0,5.58,0,0,1,7,0.7971428571428572,0.25325647891798664
41,41,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197,82.9,5.0,4.74,0,1,1,10,0.47400000000000003,0.1335700397328599
42,42,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999,149.92,5.0,8.85,0,1,0,10,0.885,0.19083969465648853
43,43,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798,138.03,5.0,10.11,0,1,0,8,1.26375,0.19441933808965212
44,44,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991,112.2,5.0,4.25,0,0,1,16,0.265625,0.07326954572881648
45,45,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694,163.7,7.0,10.95,0,1,1,12,0.9125,0.15487101154107263
46,46,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120,71.0,5.0,3.85,0,0,1,10,0.385,0.051333333333333335
47,47,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498,105.0,6.0,5.5,0,0,1,12,0.4583333333333333,0.07255936675461742
48,48,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968,174.33,5.0,21.43,0,0,0,9,2.381111111111111,1.5701934349355218
49,49,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248,74.0,5.0,4.25,0,0,1,10,0.425,0.08173076923076923
50,50,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248,75.0,5.0,3.3,0,0,1,10,0.32999999999999996,0.06226415094339622
51,51,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248,74.0,5.0,3.85,0,0,1,11,0.35000000000000003,0.05864432597105865
52,52,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197,82.0,5.0,3.6,0,1,1,9,0.4,0.06666666666666667
53,53,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598,103.2,5.0,3.99,0,1,1,9,0.44333333333333336,0.10230769230769232
54,54,Renault KWID RXT,Kochi,2017,16542,First,25.17,799,53.3,5.0,3.3,0,1,1,7,0.4714285714285714,0.1994922016684802
55,55,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197,78.9,5.0,2.07,0,1,1,14,0.14785714285714285,0.0646875
56,56,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995,147.6,5.0,7.75,0,0,0,14,0.5535714285714286,0.06362263159623026
57,57,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998,67.1,5.0,2.25,0,1,1,14,0.16071428571428573,0.05725190839694656
58,58,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393,147.8,8.0,16.5,0,0,1,7,2.357142857142857,0.75
59,59,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399,68.0,5.0,2.75,0,0,1,14,0.19642857142857142,0.03819444444444444
60,60,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796,186.0,5.0,26.7,0,1,0,9,2.966666666666667,0.4603448275862069
61,61,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148,170.0,5.0,10.0,0,0,1,13,0.7692307692307693,0.15384615384615385
62,62,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396,69.0,5.0,2.5,0,0,1,8,0.3125,0.01404494382022472
63,63,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968,140.0,5.0,13.5,0,0,0,12,1.125,0.20559210526315788
64,64,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497,78.0,5.0,1.85,0,1,0,17,0.10882352941176471,0.029365079365079365
65,65,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950,194.0,5.0,35.67,0,0,0,5,7.134,2.320905719305095
66,66,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248,88.5,7.0,8.15,0,0,1,8,1.01875,0.12936507936507935
67,67,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396,88.7,5.0,10.5,0,0,1,6,1.75,0.8076923076923077
68,68,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806,500.0,5.0,14.5,0,1,0,16,0.90625,0.19863013698630136
69,69,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179,140.0,7.0,9.65,0,0,1,9,1.0722222222222222,0.17315939636454988
70,70,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197,78.9,5.0,3.48,0,1,0,12,0.29,0.07702864225950684
71,71,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461,108.5,5.0,6.92,0,0,1,9,0.7688888888888888,0.12342596225876647
72,72,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198,86.8,5.0,6.46,0,1,0,8,0.8075,0.17319034852546916
73,73,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968,187.74,5.0,29.5,0,0,0,10,2.95,0.5267857142857143
74,74,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998,132.0,8.0,4.5,0,1,1,18,0.25,0.01956521739130435
75,75,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494,102.0,7.0,11.75,0,0,1,12,0.9791666666666666,0.11298076923076923
76,76,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248,74.0,5.0,3.75,0,0,1,12,0.3125,0.039432176656151424
77,77,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193,88.7,5.0,4.5,0,1,1,7,0.6428571428571429,0.0642857142857143
78,78,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198,86.7,5.0,4.82,0,1,1,8,0.6025,0.08772568433313921
79,79,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399,68.0,5.0,2.8,0,0,1,12,0.2333333333333333,0.03980835122339594
80,80,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248,73.94,5.0,3.11,0,0,1,11,0.2827272727272727,0.03121299102751962
81,81,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497,117.3,5.0,3.25,0,1,1,15,0.21666666666666667,0.0625
82,82,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995,218.0,5.0,13.9,0,0,0,13,1.0692307692307692,0.18533333333333332
83,83,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197,78.9,5.0,2.25,0,1,1,15,0.15,0.023442383829964577
84,84,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197,82.0,5.0,5.75,0,1,1,8,0.71875,0.359375
85,85,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198,86.7,5.0,5.0,0,1,1,8,0.625,0.263866167080057
86,86,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982,168.5,7.0,16.5,0,0,1,10,1.65,0.1542056074766355
87,87,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968,174.33,5.0,39.58,0,0,0,6,6.596666666666667,0.8183265449583392
88,88,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498,89.84,5.0,5.5,0,0,1,11,0.5,0.09649122807017543
89,89,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179,140.0,7.0,8.1,0,0,1,10,0.8099999999999999,0.1396551724137931
90,90,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498,98.6,5.0,3.5,0,0,1,9,0.3888888888888889,0.11666666666666667
91,91,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199,73.9,5.0,2.79,0,0,1,11,0.25363636363636366,0.08155033321641529
92,92,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493,110.0,5.0,3.45,0,0,1,14,0.24642857142857144,0.04928430616268107
93,93,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998,67.1,5.0,4.45,0,1,1,8,0.55625,0.0717741935483871
94,94,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598,103.5,5.0,2.65,0,1,1,14,0.18928571428571428,0.04274124610893373
95,95,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396,90.0,5.0,3.8,0,0,1,13,0.29230769230769227,0.04812685225056359
96,96,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197,82.85,5.0,4.65,0,1,1,10,0.465,0.1540755467196819
97,97,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198,67.0,7.0,3.95,0,1,1,7,0.5642857142857143,0.12023987093239172
98,98,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967,241.4,5.0,9.8,0,0,0,14,0.7000000000000001,0.32666666666666666
99,99,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197,80.0,5.0,2.7,0,1,1,15,0.18000000000000002,0.040909090909090916
100,100,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796,35.0,5.0,2.41,0,1,1,14,0.17214285714285715,0.025679275439531166
101,101,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197,78.9,5.0,3.9,0,1,1,10,0.39,0.07358490566037736
102,102,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993,270.9,5.0,24.0,0,0,0,13,1.8461538461538463,0.3076923076923077
103,103,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179,140.0,7.0,5.75,0,0,1,12,0.4791666666666667,0.08846153846153847
104,104,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582,126.32,5.0,5.25,0,0,0,10,0.525,0.13125
105,105,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755,171.5,7.0,19.25,0,0,0,7,2.75,0.6416666666666667
106,106,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196,73.0,5.0,3.91,0,1,1,7,0.5585714285714286,0.10275142564318188
107,107,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624,37.5,4.0,2.15,0,1,1,10,0.215,0.08431372549019608
108,108,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995,190.0,5.0,20.75,0,0,0,9,2.3055555555555554,0.36996095351864067
109,109,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799,130.0,5.0,3.35,0,1,1,14,0.2392857142857143,0.047124690524420434
110,110,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494,100.6,7.0,11.11,0,0,1,10,1.111,0.20199999999999999
111,111,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984,150.0,5.0,20.0,0,0,0,10,2.0,0.6116207951070336
112,112,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198,75.94,5.0,6.55,0,1,0,8,0.81875,0.16423449175066446
113,113,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497,215.0,5.0,7.0,0,1,0,15,0.4666666666666667,0.0546875
114,114,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248,88.5,5.0,7.5,0,0,1,8,0.9375,0.13636363636363638
115,115,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143,107.3,5.0,16.75,0,0,0,10,1.675,0.3116105147619668
116,116,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582,126.2,5.0,10.95,0,0,1,6,1.825,1.0682926829268293
117,117,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998,67.1,5.0,2.45,0,1,1,13,0.18846153846153849,0.055841728586406535
118,118,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624,37.48,4.0,3.23,0,1,0,7,0.4614285714285714,0.09882511320523803
119,119,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179,120.0,8.0,7.75,0,0,1,10,0.775,0.18452380952380953
120,120,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796,178.0,5.0,9.35,0,1,0,15,0.6233333333333333,0.3297827313769751
121,121,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354,152.0,5.0,5.25,0,1,1,17,0.3088235294117647,0.110062893081761
122,122,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498,103.2,5.0,7.25,0,0,0,9,0.8055555555555556,0.1318181818181818
123,123,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373,91.1,5.0,7.47,0,1,1,7,1.0671428571428572,0.1686801400022581
124,124,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179,140.0,7.0,13.25,0,0,0,8,1.65625,0.24537037037037035
125,125,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197,85.8,5.0,5.81,0,1,1,8,0.72625,0.19218047102408042
126,126,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998,67.1,5.0,2.6,0,1,1,10,0.26,0.029378531073446332
127,127,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996,362.07,2.0,54.0,0,1,0,7,7.714285714285714,4.038288962010171
128,128,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591,121.3,5.0,11.5,0,1,0,5,2.3,0.9094503756425465
129,129,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796,46.3,5.0,1.6,0,1,1,14,0.1142857142857143,0.01695184616199608
130,130,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995,143.0,5.0,17.22,0,0,0,9,1.913333333333333,0.5411520693881399
131,131,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199,88.7,5.0,6.0,0,1,0,9,0.6666666666666666,0.5
132,132,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799,130.0,5.0,3.95,0,1,1,12,0.32916666666666666,0.04459346564609723
133,133,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143,170.0,5.0,17.95,0,0,0,10,1.795,0.39919937729345045
134,134,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498,98.6,5.0,3.7,0,0,1,10,0.37,0.08214190569221207
135,135,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197,81.8,5.0,5.43,0,1,1,8,0.67875,0.158753362179862
136,136,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982,171.0,7.0,13.49,0,0,1,12,1.1241666666666668,0.14785992217898833
137,137,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199,76.8,5.0,2.85,0,1,1,10,0.28500000000000003,0.07345360824742268
138,138,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498,103.52,5.0,4.75,0,0,1,11,0.4318181818181818,0.057228915662650606
139,139,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373,91.1,5.0,9.9,0,1,1,6,1.6500000000000001,0.23980815347721823
140,140,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894,444.0,4.0,37.0,0,1,0,11,3.3636363636363638,1.608695652173913
141,141,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995,190.0,5.0,26.5,0,0,0,10,2.65,0.5520833333333334
142,142,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968,174.33,5.0,23.32,0,0,0,9,2.591111111111111,0.4836769403077944
143,143,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248,74.0,5.0,6.25,0,0,1,8,0.78125,0.17857142857142858
144,144,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461,362.9,5.0,30.0,0,1,0,14,2.142857142857143,0.8504124500382685
145,145,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498,103.52,5.0,9.86,0,0,0,8,1.2325,0.18051995606005125
146,146,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968,138.1,5.0,8.5,0,0,0,12,0.7083333333333334,0.06204515427345124
147,147,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814,55.2,5.0,4.23,0,1,1,5,0.8460000000000001,0.2953498114788438
148,148,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199,73.9,5.0,3.5,0,0,1,12,0.2916666666666667,0.05332602005058354
149,149,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198,67.06,5.0,2.5,0,1,1,8,0.3125,0.4166666666666667
150,150,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198,86.8,5.0,2.39,0,1,1,11,0.21727272727272728,0.07181490384615384
151,151,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595,120.7,5.0,11.25,0,1,0,11,1.0227272727272727,0.3879310344827586
152,152,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498,98.6,5.0,7.11,0,0,1,9,0.79,0.16600126076906913
153,153,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494,100.6,7.0,10.9,0,0,1,8,1.3625,0.12111111111111111
154,154,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197,81.8,5.0,6.2,0,1,1,7,0.8857142857142858,0.25827952509893776
155,155,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179,140.0,7.0,7.9,0,0,1,12,0.6583333333333333,0.2409124176628446
156,156,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498,89.84,5.0,4.42,0,0,1,10,0.442,0.029885461601914833
157,157,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982,168.5,7.0,13.5,0,0,1,12,1.125,0.102455128448374
158,158,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498,108.5,5.0,6.25,0,0,0,11,0.5681818181818182,0.09615384615384616
159,159,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399,68.0,5.0,2.1,0,0,1,14,0.15,0.031758994600970925
160,160,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993,258.0,5.0,45.0,0,0,0,9,5.0,1.0975609756097562
161,161,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143,167.62,5.0,33.66,0,0,0,7,4.808571428571428,1.4292993630573245
162,162,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198,86.8,5.0,3.65,0,1,1,12,0.30416666666666664,0.0811111111111111
163,163,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197,78.9,5.0,2.75,0,1,1,11,0.25,0.04583333333333334
164,164,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143,170.0,5.0,42.5,0,0,0,8,5.3125,0.9569054802539739
165,165,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197,81.86,5.0,6.5,0,1,1,5,1.3,6.5
166,166,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968,174.33,5.0,19.0,0,0,0,12,1.5833333333333333,0.304
167,167,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598,103.6,5.0,4.45,0,1,0,11,0.40454545454545454,0.21190476190476193
168,168,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998,112.0,5.0,23.0,0,0,0,7,3.2857142857142856,2.697947214076246
169,169,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396,88.73,5.0,8.35,0,0,1,10,0.835,0.2879310344827586
170,170,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968,174.33,5.0,22.95,0,0,0,10,2.295,0.57375
171,171,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936,57.6,5.0,1.5,0,0,1,12,0.125,0.017045454545454548
172,172,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798,157.75,5.0,6.89,0,1,0,12,0.5741666666666666,0.128696041989652
173,173,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399,68.0,5.0,1.45,0,0,1,18,0.08055555555555555,0.006712962962962963
174,174,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995,190.0,5.0,33.5,0,0,0,10,3.35,0.6568627450980392
