,Name,Year,Power,Seats,Car_Age,Kilometers_Driven
33,Maruti Wagon R LXI BSIII,2009,64.0,5.0,15,83816
34,Maruti Vitara Brezza ZDi Plus,2018,88.5,5.0,6,50075
35,Mahindra KUV 100 mFALCON G80 K6 5str AW,2017,82.0,5.0,7,52000
36,Mercedes-Benz M-Class ML 350 CDI,2013,254.8,5.0,11,85000
37,Volkswagen Polo Diesel Trendline 1.2L,2013,73.9,5.0,11,62000
38,Maruti Alto LXi,2008,46.3,5.0,16,90000
39,Tata Nano LX SE,2014,37.5,4.0,10,19698
40,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,77.0,6.0,7,22033
41,Hyundai i20 Magna Optional 1.2,2014,82.9,5.0,10,35487
42,Hyundai Elantra 2.0 SX Option AT,2014,149.92,5.0,10,46374
43,Toyota Corolla Altis G AT,2016,138.03,5.0,8,52001
44,Hyundai Elantra CRDi,2008,112.2,5.0,16,58005
45,Toyota Innova Crysta 2.7 GX MT,2012,163.7,7.0,12,70704
46,Hyundai Xcent 1.1 CRDi S,2014,71.0,5.0,10,75000
47,Mahindra Thar CRDe AC,2012,105.0,6.0,12,75800
48,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,174.33,5.0,9,13648
49,Maruti Swift LDI,2014,74.0,5.0,10,52000
50,Maruti Swift Ldi BSIV,2014,75.0,5.0,10,53000
51,Maruti Swift VDI,2013,74.0,5.0,11,65650
52,Hyundai Grand i10 Sportz,2015,82.0,5.0,9,54000
53,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,103.2,5.0,9,39000
54,Renault KWID RXT,2017,53.3,5.0,7,16542
55,Hyundai i10 Asta,2010,78.9,5.0,14,32000
56,Nissan X-Trail SLX AT,2010,147.6,5.0,14,121812
57,Maruti Zen Estilo VXI BSIII,2010,67.1,5.0,14,39300
58,Toyota Innova Crysta 2.4 GX MT 8S,2017,147.8,8.0,7,22000
59,Ford Figo Diesel Titanium,2010,68.0,5.0,14,72000
60,Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,186.0,5.0,9,58000
61,Mercedes-Benz New C-Class 200 CDI Classic,2011,170.0,5.0,13,65000
62,Tata Indica V2 eLS,2016,69.0,5.0,8,178000
63,Audi A4 2.0 TDI Multitronic,2012,140.0,5.0,12,65664
64,Honda City ZX CVT,2007,78.0,5.0,17,63000
65,Mercedes-Benz C-Class Progressive C 220d,2019,194.0,5.0,5,15369
66,Maruti Ertiga SHVS VDI,2016,88.5,7.0,8,63000
67,Hyundai Creta 1.4 E Plus Diesel,2018,88.7,5.0,6,13000
68,Porsche Cayenne 2009-2014 Turbo,2008,500.0,5.0,16,73000
69,Mahindra XUV500 W8 4WD,2015,140.0,7.0,9,55729
70,Hyundai i10 Sportz 1.2 AT,2012,78.9,5.0,12,45178
71,Nissan Terrano XV D Pre,2015,108.5,5.0,9,56066
72,Honda Brio VX AT,2016,86.8,5.0,8,37300
73,Audi A6 2.0 TDI Design Edition,2014,187.74,5.0,10,56000
74,Toyota Innova 2.0 G1,2006,132.0,8.0,18,230000
75,Toyota Innova 2.5 VX 7 STR BSIV,2012,102.0,7.0,12,104000
76,Maruti Swift VDI,2012,74.0,5.0,12,95100
77,Tata Zest Revotron 1.2T XE,2017,88.7,5.0,7,70000
78,Honda Amaze SX i-VTEC,2016,86.7,5.0,8,54944
79,Ford Figo Diesel ZXI,2012,68.0,5.0,12,70337
80,Maruti Ritz VDi,2013,73.94,5.0,11,99638
81,Honda City i VTEC E,2009,117.3,5.0,15,52000
82,BMW 5 Series 2003-2012 525d,2011,218.0,5.0,13,75000
83,Hyundai i10 Sportz 1.2,2009,78.9,5.0,15,95980
84,Hyundai Grand i10 Sportz,2016,82.0,5.0,8,16000
85,Honda Amaze SX i-VTEC,2016,86.7,5.0,8,18949
86,Toyota Fortuner 4x2 Manual,2014,168.5,7.0,10,107000
87,Audi A6 2011-2015 35 TDI Premium,2018,174.33,5.0,6,48367
88,Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,89.84,5.0,11,57000
89,Mahindra XUV500 W8 2WD,2014,140.0,7.0,10,58000
90,Honda Amaze SX i-DTEC,2015,98.6,5.0,9,30000
91,Volkswagen Polo Diesel Highline 1.2L,2013,73.9,5.0,11,34212
92,Hyundai Verna Transform SX VGT CRDi,2010,110.0,5.0,14,70002
93,Maruti Wagon R VXI BS IV,2016,67.1,5.0,8,62000
94,Volkswagen Polo Petrol Highline 1.6L,2010,103.5,5.0,14,62001
95,Hyundai i20 1.4 CRDi Sportz,2011,90.0,5.0,13,78958
96,Hyundai i20 Asta 1.2,2014,82.85,5.0,10,30180
97,Datsun GO Plus T Petrol,2017,67.0,7.0,7,32851
98,Audi A4 3.0 TDI Quattro Premium,2010,241.4,5.0,14,30000
99,Hyundai i20 2015-2017 Asta,2009,80.0,5.0,15,66000
100,Maruti Omni 5 Str STD,2010,35.0,5.0,14,93850
101,Toyota Etios Liva 1.2 G,2014,78.9,5.0,10,53000
102,Jaguar XF 3.0 Litre S Premium Luxury,2011,270.9,5.0,13,78000
103,Mahindra XUV500 W8 2WD,2012,140.0,7.0,12,65000
104,Hyundai Verna 1.6 SX CRDI (O) AT,2014,126.32,5.0,10,40000
105,Toyota Innova Crysta 2.8 ZX AT,2017,171.5,7.0,7,30000
106,Maruti Eeco 5 Seater AC,2017,73.0,5.0,7,38053
107,Tata Nano Twist XT,2014,37.5,4.0,10,25500
108,BMW 3 Series 320d Luxury Line,2015,190.0,5.0,9,56087
109,Honda Civic 2006-2010 1.8 V MT,2010,130.0,5.0,14,71088
110,Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,100.6,7.0,10,55000
111,Volvo V40 Cross Country D3,2014,150.0,5.0,10,32700
112,Nissan Micra XV CVT,2016,75.94,5.0,8,39882
113,BMW 5 Series 2010-2013 525i,2009,215.0,5.0,15,128000
114,Maruti Vitara Brezza VDi,2016,88.5,5.0,8,55000
115,Mercedes-Benz B Class B200 CDI,2014,107.3,5.0,10,53753
116,Hyundai Verna CRDi 1.6 SX Option,2018,126.2,5.0,6,10250
117,Maruti Wagon R LXI BS IV,2011,67.1,5.0,13,43874
118,Tata Nano XTA,2017,37.48,4.0,7,32684
119,Mahindra Scorpio VLX,2014,120.0,8.0,10,42000
120,Mercedes-Benz New C-Class 200 K AT,2009,178.0,5.0,15,28352
121,Honda CR-V 2.4 MT,2007,152.0,5.0,17,47700
122,Volkswagen Vento 1.5 TDI Comfortline AT,2015,103.2,5.0,9,55000
123,Maruti Ciaz VXi Plus,2017,91.1,5.0,7,44285
124,Mahindra XUV500 AT W10 FWD,2016,140.0,7.0,8,54000
125,Maruti Ritz VXI ABS,2016,85.8,5.0,8,30232
126,Maruti Alto K10 VXI,2014,67.1,5.0,10,88500
127,Mercedes-Benz SLC 43 AMG,2017,362.07,2.0,7,13372
128,Hyundai Verna VTVT 1.6 AT SX Plus,2019,121.3,5.0,5,12645
129,Maruti Alto LXi BSIII,2010,46.3,5.0,14,94385
130,BMW 1 Series 118d Base,2015,143.0,5.0,9,31821
131,Honda Jazz 1.2 V CVT i VTEC,2015,88.7,5.0,9,12000
132,Honda Civic 2006-2010 1.8 V MT,2012,130.0,5.0,12,88578
133,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,170.0,5.0,10,44965
134,Honda Amaze SX i-DTEC,2014,98.6,5.0,10,45044
135,Maruti Swift VVT VXI,2016,81.8,5.0,8,34204
136,Toyota Fortuner 3.0 Diesel,2012,171.0,7.0,12,91235
137,Chevrolet Beat LT Option,2014,76.8,5.0,10,38800
138,Skoda Rapid 1.5 TDI Elegance,2013,103.52,5.0,11,83000
139,Maruti Ciaz 1.4 Alpha,2018,91.1,5.0,6,41283
140,Audi RS5 Coupe,2013,444.0,4.0,11,23000
141,BMW 3 Series Luxury Line,2014,190.0,5.0,10,48000
142,Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,174.33,5.0,9,48214
143,Maruti Swift VDI,2016,74.0,5.0,8,35000
144,Mercedes-Benz S Class 2005 2013 S 500,2010,362.9,5.0,14,35277
145,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,103.52,5.0,8,54620
146,Skoda Superb Elegance 2.0 TDI CR AT,2012,138.1,5.0,12,136997
147,Hyundai EON Magna Plus,2019,55.2,5.0,5,14322
148,Volkswagen Polo Diesel Trendline 1.2L,2012,73.9,5.0,12,65634
149,Datsun GO NXT,2016,67.06,5.0,8,6000
150,Honda Brio S MT,2013,86.8,5.0,11,33280
151,Mercedes-Benz B Class B180,2013,120.7,5.0,11,29000
152,Honda City i DTEC V,2015,98.6,5.0,9,42831
153,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,100.6,7.0,8,90000
154,Maruti Swift VXI Optional,2017,81.8,5.0,7,24005
155,Mahindra XUV500 W8 2WD,2012,140.0,7.0,12,32792
156,Ford Ecosport 1.5 DV5 MT Ambiente,2014,89.84,5.0,10,147898
157,Toyota Fortuner 4x2 Manual,2012,168.5,7.0,12,131765
158,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,108.5,5.0,11,65000
159,Ford Figo Diesel Titanium,2010,68.0,5.0,14,66123
160,BMW X5 xDrive 30d,2015,258.0,5.0,9,41000
161,Mercedes-Benz New C-Class C 220 CDI Style,2017,167.62,5.0,7,23550
162,Honda Brio V MT,2012,86.8,5.0,12,45000
163,Hyundai i10 Magna 1.2,2013,78.9,5.0,11,60000
164,Mercedes-Benz GLC 220,2016,170.0,5.0,8,44414
165,Hyundai Grand i10 1.2 Kappa Asta,2019,81.86,5.0,5,1000
166,Audi A6 2011-2015 2.0 TDI Premium Plus,2012,174.33,5.0,12,62500
167,Volkswagen Vento Petrol Highline AT,2013,103.6,5.0,11,21000
168,Mini Countryman Cooper D,2017,112.0,5.0,7,8525
169,Hyundai i20 Asta 1.4 CRDi,2014,88.73,5.0,10,29000
170,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,174.33,5.0,10,40000
171,Chevrolet Beat Diesel LT,2012,57.6,5.0,12,88000
172,Skoda Superb Elegance 1.8 TSI AT,2012,157.75,5.0,12,53537
173,Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,68.0,5.0,18,216000
174,BMW 5 Series 520d Luxury Line,2014,190.0,5.0,10,51000
175,Chevrolet Optra Magnum 1.6 LS BS3,2007,102.5,5.0,17,118500
176,Volkswagen Polo Diesel Highline 1.2L,2012,73.9,5.0,12,63000
177,Renault Lodgy 110PS RxZ 8 Seater,2015,108.5,8.0,9,25000
178,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,201.1,5.0,10,37382
179,Maruti Baleno Alpha,2017,83.1,5.0,7,24773
180,Hyundai Verna 1.6 SX,2012,126.32,5.0,12,62000
181,Hyundai i10 Magna 1.1,2017,68.05,5.0,7,52340
182,Mahindra Scorpio 1.99 S10 4WD,2016,120.0,7.0,8,56739
183,Land Rover Range Rover 2.2L Dynamic,2018,187.7,5.0,6,36091
184,Ford Figo Diesel ZXI,2010,68.0,5.0,14,120000
185,Maruti Ertiga ZDI,2016,88.5,7.0,8,33000
186,Honda City 1.5 GXI,2007,74.0,5.0,17,60006
187,Honda Amaze S i-Dtech,2014,98.6,5.0,10,52000
188,Hyundai i10 Magna,2015,78.9,5.0,9,43571
189,Honda Amaze S i-Dtech,2013,98.6,5.0,11,50000
190,Skoda Laura Ambiente,2008,106.0,5.0,16,113000
191,Renault Duster 85PS Diesel RxL,2014,83.8,5.0,10,90000
192,Mahindra NuvoSport N6,2017,100.0,7.0,7,29000
193,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,88.5,5.0,8,20000
194,Hyundai i20 Asta Option 1.2,2016,81.83,5.0,8,61012
195,Skoda Fabia 1.4 MPI Ambiente,2009,85.0,5.0,15,87459
196,Tata Indigo eCS GLX,2010,64.1,5.0,14,70500
197,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,174.33,5.0,9,64103
198,Skoda Octavia Elegance 1.8 TSI AT,2014,177.5,5.0,10,76000
199,Toyota Etios Liva GD SP,2014,67.06,5.0,10,104000
200,Maruti Swift 1.3 VXi,2010,74.0,5.0,14,42001
201,Mercedes-Benz B Class B180,2014,120.7,5.0,10,37245
202,Honda Amaze S Diesel,2013,98.6,5.0,11,45000
203,Hyundai Verna 1.6 SX,2012,126.32,5.0,12,117837
204,Renault Duster 85PS Diesel RxL Optional,2014,83.8,5.0,10,30000
205,Hyundai Creta 1.6 VTVT S,2015,121.3,5.0,9,27057
206,Maruti Wagon R AMT VXI,2016,67.0,5.0,8,8500
207,Mercedes-Benz New C-Class C250 Avantgarde,2010,186.0,5.0,14,30500
208,Audi A8 L 3.0 TDI quattro,2012,246.7,5.0,12,56000
209,Hyundai i10 Magna 1.1,2012,68.05,5.0,12,44000
210,Skoda Rapid 1.6 MPI AT Style Black Package,2017,103.52,5.0,7,10500
211,Skoda Superb Style 1.8 TSI AT,2017,177.46,5.0,7,26000
212,Hyundai i20 Active 1.2 SX,2018,81.86,5.0,6,25166
213,Honda Amaze VX i-DTEC,2014,98.6,5.0,10,64000
214,Maruti Wagon R LXI,2004,67.1,5.0,20,61000
215,Mahindra Verito 1.5 D4 BSIV,2013,65.0,5.0,11,107000
216,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,167.62,5.0,6,29161
217,Maruti Wagon R VXI,2013,67.04,5.0,11,32000
218,Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,108.5,5.0,9,46173
219,Mini Cooper Convertible S,2017,189.08,4.0,7,26327
220,Ford Figo Diesel,2015,99.0,5.0,9,70436
221,Tata Indica V2 DLS BSII,2007,53.5,5.0,17,200000
222,Chevrolet Beat LT,2016,76.8,5.0,8,60813
223,Volkswagen Polo Diesel Comfortline 1.2L,2012,73.9,5.0,12,45000
224,Maruti Swift ZDi,2016,74.0,5.0,8,64000
225,Ford Figo Diesel EXI,2012,68.05,5.0,12,41284
226,Toyota Innova Crysta 2.8 GX AT,2019,171.5,7.0,5,14165
227,Hyundai Santa Fe 4x4 AT,2011,194.3,7.0,13,67000
228,Honda City i-VTEC V,2011,117.3,5.0,13,32572
229,Hyundai i20 1.2 Magna Executive,2018,81.83,5.0,6,14960
230,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,167.62,5.0,9,55980
231,Chevrolet Beat Diesel LT,2013,57.6,5.0,11,74000
232,Hyundai i20 Sportz 1.4 CRDi,2015,88.73,5.0,9,56847
233,Toyota Innova 2.5 Z Diesel 7 Seater,2015,100.6,7.0,9,121374
234,Maruti Ertiga VDI,2013,88.76,7.0,11,52000
235,Toyota Innova 2.5 V Diesel 7-seater,2014,102.0,7.0,10,118000
236,Honda City i VTEC V,2016,117.3,5.0,8,33915
237,BMW X1 sDrive20d,2014,184.0,5.0,10,82002
238,Hyundai Grand i10 CRDi Era,2017,70.0,5.0,7,33000
239,Maruti Ciaz 1.3 Alpha,2016,88.5,5.0,8,34000
240,Skoda Rapid Leisure 1.6 TDI MT,2012,103.6,5.0,12,55000
241,Hyundai Accent CRDi,2006,82.0,5.0,18,160538
242,Volkswagen Polo GT 1.5 TDI,2014,103.6,5.0,10,60000
243,Honda Jazz 1.2 VX i VTEC,2017,88.7,5.0,7,49575
244,Hyundai i10 Era,2010,68.05,5.0,14,83000
245,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2018,183.0,5.0,6,51346
246,Toyota Innova Crysta 2.4 ZX MT,2017,147.8,7.0,7,43000
247,Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,35.0,5.0,13,35000
248,Maruti Swift VXI BSIV,2017,81.8,5.0,7,27872
249,Hyundai Grand i10 Magna,2014,82.0,5.0,10,16514
250,Maruti Swift VDI,2012,74.0,5.0,12,120000
251,Hyundai Verna CRDi 1.6 SX,2008,126.2,5.0,16,143275
252,Hyundai i20 1.2 Sportz,2010,80.0,5.0,14,52000
253,Mercedes-Benz GLE 350d,2017,254.79,5.0,7,29819
254,Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,170.0,5.0,10,57000
255,Maruti Ritz ZDi,2014,73.94,5.0,10,88500
256,Hyundai Creta 1.6 CRDi SX,2016,126.2,5.0,8,28000
257,Maruti A-Star Vxi,2010,66.1,5.0,14,67000
258,Renault Duster 110PS Diesel RXZ Option,2016,108.45,5.0,8,26000
259,Fiat Grande Punto 1.3 Emotion Pack (Diesel),2010,76.0,5.0,14,120000
260,BMW X3 xDrive30d M Sport,2017,258.0,5.0,7,51982
261,Hyundai i10 Sportz,2010,78.9,5.0,14,36000
262,Toyota Innova 2.5 G4 Diesel 7-seater,2016,102.0,7.0,8,47000
263,Maruti Zen VXI BSII,2002,60.0,5.0,22,60000
264,Maruti Swift VDI,2018,74.0,5.0,6,31025
265,Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2013,120.0,8.0,11,105000
266,Tata Zest Quadrajet 1.3 75PS XE,2017,74.0,5.0,7,121900
267,Ford EcoSport 1.0 Ecoboost Titanium Plus,2017,123.24,5.0,7,22695
268,Maruti Swift Dzire ZDI,2012,74.0,5.0,12,73000
269,Maruti Alto 800 LXI,2016,47.3,5.0,8,32227
270,Honda City 1.5 S MT,2011,118.0,5.0,13,55000
271,Audi Q7 3.0 TDI Quattro Technology,2018,241.4,7.0,6,11287
272,Skoda Laura 1.9 TDI AT Ambiente,2009,105.0,5.0,15,48000
273,Hyundai Verna 1.6 SX VTVT (O),2012,121.3,5.0,12,54308
274,Honda City 1.5 V AT,2009,118.0,5.0,15,78442
275,Hyundai i20 Magna Optional 1.4 CRDi,2013,88.8,5.0,11,46000
276,Hyundai i20 Sportz AT 1.4,2014,98.6,5.0,10,45051
277,Volkswagen Vento Diesel Highline,2011,103.6,5.0,13,69000
278,Honda City i VTEC VX,2014,117.3,5.0,10,49000
279,Tata Zest Quadrajet 1.3 75PS XE,2018,74.0,5.0,6,45000
280,BMW 5 Series 2003-2012 520d,2015,177.0,5.0,9,64000
281,Maruti Wagon R LXI Minor,2009,67.0,5.0,15,60000
282,Honda Jazz VX,2015,88.7,5.0,9,62178
283,Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,2012,105.0,5.0,12,58006
284,Hyundai i10 Magna 1.2,2010,78.9,5.0,14,74000
285,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,170.0,5.0,9,77771
286,Hyundai i10 Magna 1.2 iTech SE,2012,78.9,5.0,12,45275
287,Toyota Innova Crysta 2.4 ZX MT,2016,147.8,7.0,8,48000
288,Audi A6 2011-2015 2.0 TDI Technology,2015,174.33,5.0,9,31652
289,Toyota Innova 2.5 VX (Diesel) 7 Seater,2010,100.6,7.0,14,109000
290,Volkswagen Polo Petrol Trendline 1.2L,2015,73.9,5.0,9,31978
291,Maruti Alto K10 LXI,2011,67.1,5.0,13,70000
292,Honda City i-VTEC CVT ZX,2017,117.3,5.0,7,15000
293,Tata Indigo LX,2013,70.0,5.0,11,59138
294,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,174.33,5.0,10,61726
295,Mercedes-Benz GLA Class 200 CDI SPORT,2015,136.0,5.0,9,48000
296,Maruti Celerio VXI AT,2014,67.04,5.0,10,77815
297,Mercedes-Benz GLE 250d,2017,201.15,5.0,7,29000
298,Land Rover Range Rover HSE Dynamic,2017,187.7,5.0,7,44000
299,Volkswagen Vento Diesel Trendline,2011,103.6,5.0,13,108626
300,Maruti Omni 8 Seater BSIV,2012,35.0,5.0,12,71791
301,Honda Brio 1.2 VX MT,2012,86.8,5.0,12,91931
302,Tata Sumo Delux,2000,83.1,7.0,24,158000
303,Tata Indica Vista Aura 1.3 Quadrajet,2012,75.0,5.0,12,91183
304,Maruti Wagon R LXI BS IV,2012,67.1,5.0,12,65000
305,Mahindra XUV500 W8 4WD,2015,140.0,7.0,9,88428
306,Tata Indigo LS Dicor,2008,70.0,5.0,16,138000
307,Maruti Ertiga Paseo VXI,2018,93.7,7.0,6,18000
308,Honda Accord 2.4 A/T,2011,177.6,5.0,13,60000
309,Maruti Swift Dzire VDi,2012,73.9,5.0,12,48000
310,Ford Fiesta EXi 1.4 TDCi Ltd,2009,68.0,5.0,15,160000
311,Honda City ZX GXi,2008,78.0,5.0,16,40000
312,Audi A6 2011-2015 2.0 TDI Premium Plus,2014,174.33,5.0,10,51495
313,BMW 6 Series 640d Gran Coupe,2011,313.0,4.0,13,30000
314,Audi Q7 45 TDI Quattro Technology,2017,245.0,7.0,7,97430
315,Hyundai i20 1.4 CRDi Asta,2012,90.0,5.0,12,83000
316,Hyundai i10 Sportz AT,2009,78.9,5.0,15,37000
317,Honda Jazz 1.2 V CVT i VTEC,2016,88.7,5.0,8,28503
318,Maruti Swift VDI BSIV,2015,74.0,5.0,9,76496
319,Hyundai i20 Asta 1.2,2011,82.85,5.0,13,79152
320,Volkswagen Polo Petrol Comfortline 1.2L,2011,73.9,5.0,13,32000
321,Maruti Alto LXi,2009,46.3,5.0,15,35000
322,Toyota Corolla H4,2004,125.0,5.0,20,105000
323,Maruti Alto LXi,2006,46.3,5.0,18,56000
324,Tata Manza ELAN Quadrajet BS IV,2012,88.8,5.0,12,73000
325,Maruti Alto LXi,2012,46.3,5.0,12,38000
326,Skoda Octavia Ambition Plus 2.0 TDI AT,2013,141.0,5.0,11,775000
327,Toyota Corolla H4,2008,125.0,5.0,16,80000
328,Hyundai i20 Asta Option 1.2,2016,81.83,5.0,8,24973
329,Maruti Vitara Brezza LDi,2016,88.5,5.0,8,45000
330,Honda City 1.5 V MT,2010,118.0,5.0,14,87430
331,Tata Indica Vista Aqua 1.3 Quadrajet,2014,75.0,5.0,10,133944
332,Honda Amaze S i-Dtech,2013,98.6,5.0,11,57000
333,Hyundai EON D Lite Plus,2016,55.2,5.0,8,27904
334,BMW 3 Series Luxury Line,2015,190.0,5.0,9,30717
335,Hyundai Verna 1.6 SX,2012,126.32,5.0,12,80000
336,Tata Manza Club Class Quadrajet90 LS,2013,88.8,5.0,11,47304
337,Skoda Octavia RS,2005,227.0,5.0,19,100000
338,Maruti Alto K10 VXI,2017,67.1,5.0,7,30000
339,Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,89.84,5.0,10,68000
340,Chevrolet Spark 1.0 LS,2011,62.0,5.0,13,21000
341,Jaguar XF 2.0 Diesel Portfolio,2017,177.0,5.0,7,21000
342,Honda CR-V RVi MT,2007,141.1,5.0,17,119000
343,Skoda Superb L&K 1.8 TSI AT,2019,177.46,5.0,5,13747
344,Hyundai i10 Magna 1.2,2009,78.9,5.0,15,620000
345,Maruti Swift LDI,2013,74.0,5.0,11,70000
346,Maruti Swift Dzire VXi AT,2016,83.14,5.0,8,18000
347,Nissan Micra Diesel XV,2011,63.1,5.0,13,83000
348,Maruti Swift Dzire Tour LDI,2015,74.0,5.0,9,130000
349,Ford Fiesta Classic 1.4 Duratorq CLXI,2012,67.0,5.0,12,63400
350,Maruti Zen LX,2003,60.0,5.0,21,65000
351,Mini Clubman Cooper S,2017,192.0,5.0,7,8350
352,Toyota Etios GD,2014,67.05,5.0,10,45000
353,Maruti Alto 800 2016-2019 LXI,2018,47.3,5.0,6,26200
354,Maruti Alto VXi,2011,47.0,5.0,13,11000
355,BMW X5 3.0d,2009,235.0,5.0,15,90000
356,Nissan Teana XV,2015,179.5,5.0,9,74000
357,Hyundai Grand i10 AT Asta,2015,82.0,5.0,9,37081
358,Maruti Vitara Brezza ZDi Plus,2017,88.5,5.0,7,39000
359,Audi Q7 3.0 TDI Quattro Premium Plus,2008,241.4,7.0,16,99000
360,Mercedes-Benz GLA Class 200 CDI,2015,136.0,5.0,9,38000
361,Maruti 800 AC,2007,37.0,4.0,17,72000
362,Renault Duster 85PS Diesel RxL,2015,83.8,5.0,9,93000
363,Toyota Corolla Altis D-4D GL,2017,87.2,5.0,7,5900
364,Mercedes-Benz New C-Class 220,2014,170.0,5.0,10,25000
365,Maruti Ritz VDi,2010,73.9,5.0,14,68000
366,Honda BRV i-VTEC V CVT,2017,117.3,7.0,7,35676
367,Hyundai Xcent 1.1 CRDi Base,2015,71.0,5.0,9,74310
368,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,2014,203.0,5.0,10,59364
369,Mercedes-Benz B Class B180,2014,120.7,5.0,10,41380
370,Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,204.0,5.0,7,33900
371,Honda City i VTEC VX Option,2016,117.3,5.0,8,28000
372,Honda City 1.5 S MT,2011,118.0,5.0,13,93982
373,Hyundai Verna Transform VTVT,2010,103.2,5.0,14,95000
374,Jaguar XE Portfolio,2017,246.74,5.0,7,9000
375,Honda Amaze S i-Vtech,2015,86.7,5.0,9,52516
376,Mini Cooper Convertible 1.6,2015,122.0,4.0,9,20000
377,Mercedes-Benz S Class 2005 2013 S 350 CDI,2017,282.0,5.0,7,56451
378,Hyundai EON Magna Plus,2014,55.2,5.0,10,37000
379,Maruti Wagon R VXI BS IV,2014,67.04,5.0,10,17400
380,Maruti Ritz LDi,2011,73.9,5.0,13,90207
381,BMW 3 Series 320d Sedan,2011,181.0,5.0,13,89616
382,Tata Xenon XT EX 4X2,2014,138.03,5.0,10,85000
383,Audi A3 35 TDI Attraction,2014,143.0,5.0,10,79271
384,Land Rover Range Rover 2.2L Dynamic,2012,187.7,5.0,12,56000
385,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2010,224.0,7.0,14,85001
