,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Car_Age
34,34,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248,88.5,5.0,8.63,0,0,1,6
35,35,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198,82.0,5.0,4.85,0,1,1,7
36,36,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987,254.8,5.0,28.0,0,0,0,11
37,37,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199,73.9,5.0,5.0,0,0,1,11
38,38,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796,46.3,5.0,1.25,0,1,1,16
39,39,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624,37.5,4.0,1.53,0,1,1,10
40,40,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198,77.0,6.0,5.58,0,0,1,7
41,41,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197,82.9,5.0,4.74,0,1,1,10
42,42,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999,149.92,5.0,8.85,0,1,0,10
43,43,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798,138.03,5.0,10.11,0,1,0,8
44,44,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991,112.2,5.0,4.25,0,0,1,16
45,45,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694,163.7,7.0,10.95,0,1,1,12
46,46,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120,71.0,5.0,3.85,0,0,1,10
47,47,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498,105.0,6.0,5.5,0,0,1,12
48,48,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968,174.33,5.0,21.43,0,0,0,9
49,49,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248,74.0,5.0,4.25,0,0,1,10
50,50,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248,75.0,5.0,3.3,0,0,1,10
51,51,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248,74.0,5.0,3.85,0,0,1,11
52,52,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197,82.0,5.0,3.6,0,1,1,9
53,53,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598,103.2,5.0,3.99,0,1,1,9
54,54,Renault KWID RXT,Kochi,2017,16542,First,25.17,799,53.3,5.0,3.3,0,1,1,7
55,55,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197,78.9,5.0,2.07,0,1,1,14
56,56,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995,147.6,5.0,7.75,0,0,0,14
57,57,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998,67.1,5.0,2.25,0,1,1,14
58,58,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393,147.8,8.0,16.5,0,0,1,7
59,59,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399,68.0,5.0,2.75,0,0,1,14
60,60,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796,186.0,5.0,26.7,0,1,0,9
61,61,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148,170.0,5.0,10.0,0,0,1,13
62,62,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396,69.0,5.0,2.5,0,0,1,8
63,63,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968,140.0,5.0,13.5,0,0,0,12
64,64,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497,78.0,5.0,1.85,0,1,0,17
65,65,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950,194.0,5.0,35.67,0,0,0,5
66,66,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248,88.5,7.0,8.15,0,0,1,8
67,67,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396,88.7,5.0,10.5,0,0,1,6
68,68,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806,500.0,5.0,14.5,0,1,0,16
69,69,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179,140.0,7.0,9.65,0,0,1,9
70,70,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197,78.9,5.0,3.48,0,1,0,12
71,71,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461,108.5,5.0,6.92,0,0,1,9
72,72,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198,86.8,5.0,6.46,0,1,0,8
73,73,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968,187.74,5.0,29.5,0,0,0,10
74,74,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998,132.0,8.0,4.5,0,1,1,18
75,75,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494,102.0,7.0,11.75,0,0,1,12
76,76,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248,74.0,5.0,3.75,0,0,1,12
77,77,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193,88.7,5.0,4.5,0,1,1,7
78,78,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198,86.7,5.0,4.82,0,1,1,8
79,79,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399,68.0,5.0,2.8,0,0,1,12
80,80,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248,73.94,5.0,3.11,0,0,1,11
81,81,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497,117.3,5.0,3.25,0,1,1,15
82,82,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995,218.0,5.0,13.9,0,0,0,13
83,83,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197,78.9,5.0,2.25,0,1,1,15
84,84,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197,82.0,5.0,5.75,0,1,1,8
85,85,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198,86.7,5.0,5.0,0,1,1,8
86,86,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982,168.5,7.0,16.5,0,0,1,10
87,87,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968,174.33,5.0,39.58,0,0,0,6
88,88,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498,89.84,5.0,5.5,0,0,1,11
89,89,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179,140.0,7.0,8.1,0,0,1,10
90,90,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498,98.6,5.0,3.5,0,0,1,9
91,91,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199,73.9,5.0,2.79,0,0,1,11
92,92,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493,110.0,5.0,3.45,0,0,1,14
93,93,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998,67.1,5.0,4.45,0,1,1,8
94,94,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598,103.5,5.0,2.65,0,1,1,14
95,95,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396,90.0,5.0,3.8,0,0,1,13
96,96,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197,82.85,5.0,4.65,0,1,1,10
97,97,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198,67.0,7.0,3.95,0,1,1,7
98,98,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967,241.4,5.0,9.8,0,0,0,14
99,99,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197,80.0,5.0,2.7,0,1,1,15
100,100,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796,35.0,5.0,2.41,0,1,1,14
101,101,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197,78.9,5.0,3.9,0,1,1,10
102,102,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993,270.9,5.0,24.0,0,0,0,13
103,103,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179,140.0,7.0,5.75,0,0,1,12
104,104,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582,126.32,5.0,5.25,0,0,0,10
105,105,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755,171.5,7.0,19.25,0,0,0,7
106,106,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196,73.0,5.0,3.91,0,1,1,7
107,107,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624,37.5,4.0,2.15,0,1,1,10
108,108,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995,190.0,5.0,20.75,0,0,0,9
109,109,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799,130.0,5.0,3.35,0,1,1,14
110,110,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494,100.6,7.0,11.11,0,0,1,10
111,111,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984,150.0,5.0,20.0,0,0,0,10
112,112,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198,75.94,5.0,6.55,0,1,0,8
113,113,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497,215.0,5.0,7.0,0,1,0,15
114,114,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248,88.5,5.0,7.5,0,0,1,8
115,115,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143,107.3,5.0,16.75,0,0,0,10
116,116,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582,126.2,5.0,10.95,0,0,1,6
117,117,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998,67.1,5.0,2.45,0,1,1,13
118,118,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624,37.48,4.0,3.23,0,1,0,7
119,119,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179,120.0,8.0,7.75,0,0,1,10
120,120,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796,178.0,5.0,9.35,0,1,0,15
121,121,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354,152.0,5.0,5.25,0,1,1,17
122,122,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498,103.2,5.0,7.25,0,0,0,9
123,123,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373,91.1,5.0,7.47,0,1,1,7
124,124,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179,140.0,7.0,13.25,0,0,0,8
125,125,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197,85.8,5.0,5.81,0,1,1,8
126,126,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998,67.1,5.0,2.6,0,1,1,10
127,127,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996,362.07,2.0,54.0,0,1,0,7
128,128,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591,121.3,5.0,11.5,0,1,0,5
129,129,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796,46.3,5.0,1.6,0,1,1,14
130,130,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995,143.0,5.0,17.22,0,0,0,9
131,131,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199,88.7,5.0,6.0,0,1,0,9
132,132,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799,130.0,5.0,3.95,0,1,1,12
133,133,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143,170.0,5.0,17.95,0,0,0,10
134,134,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498,98.6,5.0,3.7,0,0,1,10
135,135,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197,81.8,5.0,5.43,0,1,1,8
136,136,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982,171.0,7.0,13.49,0,0,1,12
137,137,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199,76.8,5.0,2.85,0,1,1,10
138,138,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498,103.52,5.0,4.75,0,0,1,11
139,139,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373,91.1,5.0,9.9,0,1,1,6
140,140,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894,444.0,4.0,37.0,0,1,0,11
141,141,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995,190.0,5.0,26.5,0,0,0,10
142,142,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968,174.33,5.0,23.32,0,0,0,9
143,143,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248,74.0,5.0,6.25,0,0,1,8
144,144,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461,362.9,5.0,30.0,0,1,0,14
145,145,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498,103.52,5.0,9.86,0,0,0,8
146,146,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968,138.1,5.0,8.5,0,0,0,12
147,147,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814,55.2,5.0,4.23,0,1,1,5
148,148,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199,73.9,5.0,3.5,0,0,1,12
149,149,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198,67.06,5.0,2.5,0,1,1,8
150,150,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198,86.8,5.0,2.39,0,1,1,11
151,151,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595,120.7,5.0,11.25,0,1,0,11
152,152,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498,98.6,5.0,7.11,0,0,1,9
153,153,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494,100.6,7.0,10.9,0,0,1,8
154,154,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197,81.8,5.0,6.2,0,1,1,7
155,155,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179,140.0,7.0,7.9,0,0,1,12
156,156,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498,89.84,5.0,4.42,0,0,1,10
157,157,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982,168.5,7.0,13.5,0,0,1,12
158,158,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498,108.5,5.0,6.25,0,0,0,11
159,159,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399,68.0,5.0,2.1,0,0,1,14
160,160,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993,258.0,5.0,45.0,0,0,0,9
161,161,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143,167.62,5.0,33.66,0,0,0,7
162,162,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198,86.8,5.0,3.65,0,1,1,12
163,163,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,20.36,1197,78.9,5.0,2.75,0,1,1,11
164,164,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,17.9,2143,170.0,5.0,42.5,0,0,0,8
165,165,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,18.9,1197,81.86,5.0,6.5,0,1,1,5
166,166,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,17.68,1968,174.33,5.0,19.0,0,0,0,12
167,167,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,14.4,1598,103.6,5.0,4.45,0,1,0,11
168,168,Mini Countryman Cooper D,Jaipur,2017,8525,Second,16.6,1998,112.0,5.0,23.0,0,0,0,7
169,169,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,22.54,1396,88.73,5.0,8.35,0,0,1,10
170,170,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,17.68,1968,174.33,5.0,22.95,0,0,0,10
171,171,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,25.44,936,57.6,5.0,1.5,0,0,1,12
172,172,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,13.7,1798,157.75,5.0,6.89,0,1,0,12
173,173,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,17.8,1399,68.0,5.0,1.45,0,0,1,18
174,174,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,22.48,1995,190.0,5.0,33.5,0,0,0,10
175,175,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,2007,118500,First,12.9,1598,102.5,5.0,1.25,0,1,1,17
176,176,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,First,22.07,1199,73.9,5.0,4.2,0,0,1,12
177,177,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,2015,25000,First,19.98,1461,108.5,8.0,6.75,0,0,1,9
178,178,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2014,37382,First,13.0,2143,201.1,5.0,32.0,0,0,0,10
179,179,Maruti Baleno Alpha,Kochi,2017,24773,First,21.4,1197,83.1,5.0,7.5,0,1,1,7
180,180,Hyundai Verna 1.6 SX,Delhi,2012,62000,First,22.32,1582,126.32,5.0,4.6,0,0,1,12
181,181,Hyundai i10 Magna 1.1,Kochi,2017,52340,First,19.81,1086,68.05,5.0,4.04,0,1,1,7
182,182,Mahindra Scorpio 1.99 S10 4WD,Kochi,2016,56739,First,15.4,1997,120.0,7.0,10.31,0,0,1,8
183,183,Land Rover Range Rover 2.2L Dynamic,Coimbatore,2018,36091,First,12.7,2179,187.7,5.0,55.76,0,0,0,6
184,184,Ford Figo Diesel ZXI,Chennai,2010,120000,First,20.0,1399,68.0,5.0,2.6,0,0,1,14
185,185,Maruti Ertiga ZDI,Mumbai,2016,33000,First,25.47,1248,88.5,7.0,8.5,0,0,1,8
186,186,Honda City 1.5 GXI,Ahmedabad,2007,60006,First,0.0,1197,74.0,5.0,2.95,0,1,1,17
187,187,Honda Amaze S i-Dtech,Kolkata,2014,52000,First,25.8,1498,98.6,5.0,3.5,0,0,1,10
188,188,Hyundai i10 Magna,Jaipur,2015,43571,First,20.36,1197,78.9,5.0,3.55,0,1,1,9
189,189,Honda Amaze S i-Dtech,Kolkata,2013,50000,First,25.8,1498,98.6,5.0,3.25,0,0,1,11
190,190,Skoda Laura Ambiente,Hyderabad,2008,113000,First,17.5,1896,106.0,5.0,4.5,0,0,1,16
191,191,Renault Duster 85PS Diesel RxL,Delhi,2014,90000,First,19.87,1461,83.8,5.0,5.35,0,0,1,10
192,192,Mahindra NuvoSport N6,Chennai,2017,29000,Second,17.45,1493,100.0,7.0,6.5,0,0,1,7
193,193,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,First,24.3,1248,88.5,5.0,9.0,0,0,1,8
194,194,Hyundai i20 Asta Option 1.2,Kochi,2016,61012,First,18.6,1197,81.83,5.0,6.0,0,1,1,8
195,195,Skoda Fabia 1.4 MPI Ambiente,Jaipur,2009,87459,First,14.7,1390,85.0,5.0,2.75,0,1,1,15
196,196,Tata Indigo eCS GLX,Pune,2010,70500,First,15.64,1193,64.1,5.0,1.5,0,1,1,14
197,197,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,2015,64103,First,15.73,1968,174.33,5.0,19.9,0,0,0,9
198,198,Skoda Octavia Elegance 1.8 TSI AT,Mumbai,2014,76000,First,14.7,1798,177.5,5.0,10.0,0,1,0,10
199,199,Toyota Etios Liva GD SP,Delhi,2014,104000,First,23.59,1364,67.06,5.0,3.0,0,0,1,10
200,200,Maruti Swift 1.3 VXi,Kolkata,2010,42001,First,16.1,1197,74.0,5.0,2.11,0,1,1,14
201,201,Mercedes-Benz B Class B180,Kochi,2014,37245,First,14.8,1595,120.7,5.0,11.96,0,1,0,10
202,202,Honda Amaze S Diesel,Kolkata,2013,45000,First,27.4,1498,98.6,5.0,3.25,0,0,1,11
203,203,Hyundai Verna 1.6 SX,Jaipur,2012,117837,Second,22.32,1582,126.32,5.0,4.75,0,0,1,12
204,204,Renault Duster 85PS Diesel RxL Optional,Mumbai,2014,30000,First,20.46,1461,83.8,5.0,5.95,0,0,1,10
205,205,Hyundai Creta 1.6 VTVT S,Delhi,2015,27057,Second,15.29,1591,121.3,5.0,8.15,0,1,1,9
206,206,Maruti Wagon R AMT VXI,Mumbai,2016,8500,First,20.51,998,67.0,5.0,4.22,0,1,0,8
207,207,Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,2010,30500,First,11.74,1796,186.0,5.0,10.5,0,1,0,14
208,208,Audi A8 L 3.0 TDI quattro,Delhi,2012,56000,First,11.8,2967,246.7,5.0,45.0,0,0,0,12
209,209,Hyundai i10 Magna 1.1,Pune,2012,44000,Second,19.81,1086,68.05,5.0,2.9,0,1,1,12
210,210,Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,2017,10500,First,14.3,1598,103.52,5.0,8.9,0,1,0,7
211,211,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,First,14.67,1798,177.46,5.0,26.0,0,1,0,7
212,212,Hyundai i20 Active 1.2 SX,Coimbatore,2018,25166,First,17.19,1197,81.86,5.0,8.22,0,1,1,6
213,213,Honda Amaze VX i-DTEC,Kolkata,2014,64000,Second,25.8,1498,98.6,5.0,3.5,0,0,1,10
214,214,Maruti Wagon R LXI,Chennai,2004,61000,Second,18.9,998,67.1,5.0,1.25,0,1,1,20
215,215,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,First,21.03,1461,65.0,5.0,3.7,0,0,1,11
216,216,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,29161,First,19.27,2143,167.62,5.0,39.41,0,0,0,6
217,217,Maruti Wagon R VXI,Kolkata,2013,32000,First,22.5,998,67.04,5.0,2.65,0,1,1,11
